citation_id	citation_label	title	authors	year	journal	url	pmid	doi	notes	raw_citation_text
citation_02056eb3ff7d	Barnett et al. 2024 Nature Medicine, human vascular cell atlas					https://www.nature.com/articles/s41591-024-03376-x				Barnett et al. 2024 Nature Medicine, human vascular cell atlas
citation_032958c47aa9	Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies					https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full				Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies
citation_032af2e1a11c	CellMarker 2.0, manually curated human/mouse cell marker database					https://academic.oup.com/nar/article/51/D1/D870/6775381				CellMarker 2.0, manually curated human/mouse cell marker database
citation_03e621016dbb	Human Protein Atlas immune cell single-cell resource					https://www.proteinatlas.org/humanproteome/single%2Bcell/immune%2Bcell				Human Protein Atlas immune cell single-cell resource
citation_06bfb5979b2c	Steuernagel et al., Nature Metabolism 2022, murine HypoMap					https://pmc.ncbi.nlm.nih.gov/articles/PMC9584816/				Steuernagel et al., Nature Metabolism 2022, murine HypoMap
citation_06f24306648e	Bondareva et al., Nature Metabolism 2022, endothelial cell obesity atlas					https://www.nature.com/articles/s42255-022-00674-x				Bondareva et al., Nature Metabolism 2022, endothelial cell obesity atlas
citation_081d5e2f1f71	Human Protein Atlas immune cell resource					https://www.proteinatlas.org/humanproteome/single+cell/immune+cell				Human Protein Atlas immune cell resource
citation_0d2480c8edb8	Kuppe et al. 2022 Nature, spatial multi-omic map of human myocardial infarction					https://www.nature.com/articles/s41586-022-05060-x				Kuppe et al. 2022 Nature, spatial multi-omic map of human myocardial infarction
citation_0d6683582aa2	Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques					https://www.nature.com/articles/s41467-025-63202-x				Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques
citation_1229a55aad90	Human Protein Atlas single cell type resource					https://www.proteinatlas.org/humanproteome/single+cell/single+cell+type				Human Protein Atlas single cell type resource
citation_17b45b25a630	Segerstolpe 2016 Cell Metabolism					https://www.sciencedirect.com/science/article/pii/S1550413116304363				Segerstolpe 2016 Cell Metabolism
citation_1b1a1b60742a	Cha 2023 Biology					https://pmc.ncbi.nlm.nih.gov/articles/PMC10501801/				Cha 2023 Biology
citation_1b862671bd5c	Muraro 2016 Cell Systems					https://www.sciencedirect.com/science/article/pii/S2405471216302927				Muraro 2016 Cell Systems
citation_1c829403f33f	Yao et al., Nature 2023, Allen whole mouse brain cell atlas					https://www.nature.com/articles/s41586-023-06812-z				Yao et al., Nature 2023, Allen whole mouse brain cell atlas
citation_1cd9bb64845e	Singh 2023 Clinical Biochemistry					https://www.sciencedirect.com/science/article/abs/pii/S0009898123002899				Singh 2023 Clinical Biochemistry
citation_1f2d9a9b4460	Andrews et al., Hepatology Communications 2022					https://journals.lww.com/hepcomm/fulltext/2022/04000/single_cell%2C_single_nucleus%2C_and_spatial_rna.14.aspx				Andrews et al., Hepatology Communications 2022
citation_28e84147636d	Ham et al. 2025 Nature Communications, innervated and denervated skeletal muscle snRNA-seq					https://www.nature.com/articles/s41467-025-57487-1				Ham et al. 2025 Nature Communications, innervated and denervated skeletal muscle snRNA-seq
citation_293e727c48fc	Massier et al. 2023, integrated human WAT single-cell/spatial map					https://www.nature.com/articles/s41467-023-36983-2				Massier et al. 2023, integrated human WAT single-cell/spatial map
citation_29436e9310ab	Emont et al. 2022 Nature, single-cell atlas of human and mouse white adipose tissue					https://pmc.ncbi.nlm.nih.gov/articles/PMC9504827/				Emont et al. 2022 Nature, single-cell atlas of human and mouse white adipose tissue
citation_2aadd28d30e9	Tonelli 2024 Nature Communications					https://pmc.ncbi.nlm.nih.gov/articles/PMC11088527/				Tonelli 2024 Nature Communications
citation_3219c90237e9	Walchli et al., Nature 2024, human brain vasculature atlas					https://www.nature.com/articles/s41586-024-07493-y				Walchli et al., Nature 2024, human brain vasculature atlas
citation_35dd28a9b3eb	CellMarker 2.0					https://www.bio-bigdata.center/				CellMarker 2.0
citation_39f683cf1df0	Schuit 2012 Diabetes					https://pmc.ncbi.nlm.nih.gov/articles/PMC3331770/				Schuit 2012 Diabetes
citation_3a78caeca90f	Hu et al. 2023 Nucleic Acids Research, CellMarker 2.0: an updated database of manually curated cell markers					https://academic.oup.com/nar/article/51/D1/D870/6775381				Hu et al. 2023 Nucleic Acids Research, CellMarker 2.0: an updated database of manually curated cell markers
citation_3aa75d5e7cbe	Domanska 2022 JEM					https://rupress.org/jem/article/219/3/e20211846/212998/Single-cell-transcriptomic-analysis-of-human				Domanska 2022 JEM
citation_3ae9a34c91bc	MacParland et al., Nature Communications 2018					https://www.nature.com/articles/s41467-018-06318-7				MacParland et al., Nature Communications 2018
citation_3b0880233fe4	Chen et al., Cell Reports 2017, hypothalamic cell diversity					https://pmc.ncbi.nlm.nih.gov/articles/PMC5782816/				Chen et al., Cell Reports 2017, hypothalamic cell diversity
citation_3cd3fa2a94ad	Gerhardt et al. 2021 PNAS, Single-nuclear transcriptomics reveals diversity of proximal tubule cell states in a dynamic response to acute kidney injury					https://www.pnas.org/doi/10.1073/pnas.2026684118				Gerhardt et al. 2021 PNAS, Single-nuclear transcriptomics reveals diversity of proximal tubule cell states in a dynamic response to acute kidney injury
citation_3eaee5dcdc21	MSigDB Hallmark Interferon Alpha Response					https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INTERFERON_ALPHA_RESPONSE.html				MSigDB Hallmark Interferon Alpha Response
citation_419086d6648e	Webster 2024 Frontiers Endocrinology					https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1427723/full				Webster 2024 Frontiers Endocrinology
citation_45165868d524	Guilliams et al., Cell 2022					https://www.sciencedirect.com/science/article/pii/S0092867421014811				Guilliams et al., Cell 2022
citation_4b8fdbbaad4b	Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells					https://www.nature.com/articles/s41591-024-03376-x				Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells
