allow_hard_call	biological_category	biological_description	cell_type_id	cell_type_label	curation_notes	curation_version	disease_context	display_name	display_order	do_not_overinterpret_as	gene_set_description	hard_call_notes	interpretation_caveat	interpretation_status	is_composite_required	is_qc	known_limitations	manual_review_status	marker_panel_context	marker_provenance_summary	n_markers	negative_checks	portal_visibility	provenance_warning_count	qc_sensitivity	quality_badges	recommended_portal_label	recommended_portal_summary	release_class	required_supporting_evidence	score_scope	source_gmt	source_workbook	state_class	state_establishment_level	state_establishment_rationale	state_id	state_label	state_level_citation_ids	tissue_id	tissue_label
false		Inflammatory dysfunctional pvat adipocyte represents inflammatory activation in Adipocyte.	adipocyte	Adipocyte	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.	2026-05-26		Inflammatory dysfunctional pvat adipocyte			Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Interpret as a process score; consider disease, dissociation, immune contamination, and batch context.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Inflammatory process;Context dependent	Inflammatory dysfunctional pvat adipocyte	Inflammatory dysfunctional pvat adipocyte represents inflammatory activation in Adipocyte.	portal_flagged		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	citation_032958c47aa9;citation_89e005ff715f	artery	Artery
false		Mature adipocyte lipid storage captures a functional activity program in Adipocyte.	adipocyte	Adipocyte	Mature lipid-storage adipocyte identity program.	2026-05-26		Mature adipocyte lipid storage			Emont et al. 2022 Nature, single-cell atlas of human and mouse white adipose tissue; Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	This is usually a functional gradient rather than a discrete state-positive population.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Functional program;Continuous activity score	Mature adipocyte lipid storage	Mature adipocyte lipid storage captures a functional activity program in Adipocyte.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_function_gradient	established_functional_state		artery_adipocyte_mature_adipocyte_lipid_storage	Mature adipocyte lipid storage	citation_29436e9310ab;citation_89e005ff715f	artery	Artery
false		Thermogenic beige pvat adipocyte is a curated marker panel for Adipocyte in Artery. The biological interpretation needs review or more specific annotation.	adipocyte	Adipocyte	Thermogenic/beige-like perivascular adipocyte program.	2026-05-26		Thermogenic beige pvat adipocyte			Angueira et al. 2021 Nat Metab, thermogenic perivascular adipose tissue lineage; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Treat as a curated exploratory marker panel until the state class and establishment level are manually reviewed.	needs_review	false	false		reviewed			10		show_with_caution	1	none	Needs metadata review	Thermogenic beige pvat adipocyte	Thermogenic beige pvat adipocyte is a curated marker panel for Adipocyte in Artery. The biological interpretation needs review or more specific annotation.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	unknown	needs_review		artery_adipocyte_thermogenic_beige_pvat_adipocyte	Thermogenic beige pvat adipocyte	citation_032958c47aa9;citation_b4c17b20155a	artery	Artery
false		Vasoactive adipokine secretory adipocyte captures a functional activity program in Adipocyte.	adipocyte	Adipocyte	Adipokine/vascular signaling program relevant to PVAT paracrine activity.	2026-05-26		Vasoactive adipokine secretory adipocyte			Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	This is usually a functional gradient rather than a discrete state-positive population.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Functional program;Continuous activity score	Vasoactive adipokine secretory adipocyte	Vasoactive adipokine secretory adipocyte captures a functional activity program in Adipocyte.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_function_gradient	established_functional_state		artery_adipocyte_vasoactive_adipokine_secretory_adipocyte	Vasoactive adipokine secretory adipocyte	citation_032958c47aa9;citation_89e005ff715f	artery	Artery
false		Activated inflammatory endothelial represents inflammatory activation in Endothelial.	endothelial	Endothelial	Inflammatory endothelial activation and leukocyte-recruitment program.	2026-05-26		Activated inflammatory endothelial			Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis; Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Interpret as a process score; consider disease, dissociation, immune contamination, and batch context.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Inflammatory process;Context dependent	Activated inflammatory endothelial	Activated inflammatory endothelial represents inflammatory activation in Endothelial.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_endothelial_activated_inflammatory_endothelial	Activated inflammatory endothelial	citation_0d6683582aa2;citation_d6fbc277fd62	artery	Artery
false		Angiogenic proangiogenic endothelial captures angiogenic or vascular remodeling activity.	endothelial	Endothelial	Angiogenic/proangiogenic plaque endothelial program; may mark vasa vasorum or lesion neovascularization.	2026-05-26		Angiogenic proangiogenic endothelial			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis; Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Interpret as a process score and consider disease, ischemia, vascular compartment, and tissue context.	continuous_gradient	false	false		reviewed			10		show_default	1	low	Angiogenic process;Context dependent	Angiogenic proangiogenic endothelial	Angiogenic proangiogenic endothelial captures angiogenic or vascular remodeling activity.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	emerging_context_dependent		artery_endothelial_angiogenic_proangiogenic_endothelial	Angiogenic proangiogenic endothelial	citation_0d6683582aa2;citation_4b8fdbbaad4b;citation_d6fbc277fd62	artery	Artery
false		Arterial endothelial identity represents a curated identity or subtype marker program within Endothelial.	endothelial	Endothelial	Arterial endothelial and aorta/coronary endothelial state markers.	2026-05-26		Arterial endothelial identity			Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Use as an identity or subtype activity gradient within the selected parent cell type, not as a mutually exclusive cell-state probability.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Established identity marker panel;Continuous activity score	Arterial endothelial identity	Arterial endothelial identity represents a curated identity or subtype marker program within Endothelial.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_identity_gradient	canonical_identity		artery_endothelial_arterial_endothelial_identity	Arterial endothelial identity	citation_4b8fdbbaad4b	artery	Artery
false		Capillary microvascular endothelial identity represents a curated identity or subtype marker program within Endothelial.	endothelial	Endothelial	Capillary/microvascular endothelial program, including fatty-acid transport capillary signatures.	2026-05-26		Capillary microvascular endothelial identity			Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Use as an identity or subtype activity gradient within the selected parent cell type, not as a mutually exclusive cell-state probability.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Established identity marker panel;Continuous activity score	Capillary microvascular endothelial identity	Capillary microvascular endothelial identity represents a curated identity or subtype marker program within Endothelial.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_identity_gradient	canonical_identity		artery_endothelial_capillary_microvascular_endothelial_identity	Capillary microvascular endothelial identity	citation_4b8fdbbaad4b	artery	Artery
false		Endmt like endothelial captures remodeling, extracellular matrix, or transition-like activity in Endothelial.	endothelial	Endothelial	Endothelial-to-mesenchymal transition-like program; strong overlap with fibroblast and SMC markers.	2026-05-26		Endmt like endothelial			Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis; Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	These programs often overlap related stromal or mural lineages. Interpret with parent-cell identity and contamination checks.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Remodeling process;Context dependent	Endmt like endothelial	Endmt like endothelial captures remodeling, extracellular matrix, or transition-like activity in Endothelial.	portal_flagged		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	emerging_context_dependent		artery_endothelial_endmt_like_endothelial	Endmt like endothelial	citation_0d6683582aa2;citation_d6fbc277fd62	artery	Artery
false		Endothelial identity barrier quiescent represents a curated identity or subtype marker program within Endothelial.	endothelial	Endothelial	Core blood endothelial identity and barrier/quiescent endothelial markers.	2026-05-26		Endothelial identity barrier quiescent			Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Use as an identity or subtype activity gradient within the selected parent cell type, not as a mutually exclusive cell-state probability.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Established identity marker panel;Continuous activity score	Endothelial identity barrier quiescent	Endothelial identity barrier quiescent represents a curated identity or subtype marker program within Endothelial.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_identity_gradient	canonical_identity		artery_endothelial_endothelial_identity_barrier_quiescent	Endothelial identity barrier quiescent	citation_4b8fdbbaad4b	artery	Artery
